USA-LAX,5,3,6,0,1,0,1,0,7,0,5,0,6,1,0,0,18,0,10,0,0,15,0,10,18,0,0,2,0,6,21,14,0,0,0,3,44,0,5,0,10,34,0,12,34,4,10,0,0,71,4,0,0,10,18
USA-OMA,5,3,0,24,74,41,1,1,4,0,63,38,0,0,0,0,1,0,0,0,0,1,2,56,0,0,0,43,0,54,0,0,0,0,0,42,5,10,55,10,0,4,0,4,4,3,0,41,0,6,58,0,0,26,1
USA-CUO,0,1,0,0,0,0,1,1,0,0,0,1,0,4,1,0,29,0,0,0,0,24,0,0,30,0,46,0,0,0,0,13,44,46,0,0,52,0,0,34,4,0,0,62,100,0,0,0,0,29,0,0,0,9,29
USA-ATL,0,0,0,0,0,0,0,0,0,28,0,0,21,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA-STL,0,2,0,2,0,0,3,1,0,0,0,4,0,0,0,0,10,0,0,0,0,7,0,0,11,0,84,0,0,0,0,26,81,84,0,0,18,0,0,12,4,62,0,0,62,0,0,0,0,9,0,0,0,8,10
USA-CLE,0,1,0,0,0,0,1,1,0,0,0,1,0,4,1,0,29,0,0,0,0,24,0,0,30,0,46,0,0,0,0,13,44,46,0,0,52,0,0,34,4,100,0,62,0,0,0,0,0,29,0,0,0,9,29
USA-LIN,94,0,86,0,1,2,0,0,89,0,3,0,0,0,0,0,0,14,0,0,0,0,25,2,0,0,0,5,0,7,0,0,0,0,0,0,37,0,7,4,3,0,0,0,0,0,7,2,0,0,2,0,0,1,0
USA-POR,6,8,13,0,0,0,5,0,11,0,0,5,0,0,0,1,0,59,27,0,0,0,57,1,0,0,0,0,0,0,31,1,0,0,0,5,0,0,0,10,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0
USA-LEK,2,0,0,32,60,100,0,0,2,0,75,2,0,0,0,0,3,1,0,0,0,0,0,68,3,0,0,96,0,69,0,0,0,0,0,3,0,49,69,0,41,0,0,0,0,2,0,0,0,0,80,0,0,42,3
USA-ORL,0,2,0,0,0,0,3,1,0,0,0,0,0,0,15,3,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA-SAN,0,2,1,0,2,0,0,0,1,0,0,1,33,0,8,0,17,0,0,0,18,23,0,4,17,0,0,0,0,0,7,0,0,0,0,2,35,0,0,71,6,29,0,9,29,0,8,0,0,0,0,4,0,6,17
USA-LIT,3,1,0,16,44,80,0,0,2,0,95,3,0,0,0,0,3,1,0,0,0,1,2,87,2,0,0,77,0,88,0,0,0,0,0,7,0,31,89,4,58,0,0,0,0,2,0,80,0,0,0,0,0,56,3
USA-CHI,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0
USA-BOS,0,4,0,0,0,0,4,4,0,7,0,0,1,0,0,4,0,0,0,9,1,0,0,0,0,88,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
USA-RON,1,1,0,46,18,42,0,1,1,19,52,3,0,0,0,0,46,0,0,0,0,23,0,46,45,0,0,38,0,47,0,0,0,0,0,8,11,55,48,10,26,9,0,8,9,1,0,42,0,6,56,0,0,0,47
USA-NAS,0,1,0,33,2,3,0,3,0,20,1,2,0,0,15,0,99,0,0,0,0,64,0,0,98,0,0,0,0,0,0,0,0,0,0,1,34,29,1,18,1,29,0,10,29,0,0,3,0,17,3,0,0,47,0
